2024-11-04 18:06:48,108 | DEBUG | Got value from dict - None
2024-11-04 18:06:48,212 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,212 | DEBUG | adding height: tall to db was True
2024-11-04 18:06:48,212 | DEBUG | Data written
2024-11-04 18:06:48,213 | DEBUG | writing was True
2024-11-04 18:06:48,213 | DEBUG | released all reader slots
2024-11-04 18:06:48,213 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,213 | DEBUG | adding age: 17 to db was True
2024-11-04 18:06:48,213 | DEBUG | Data written
2024-11-04 18:06:48,214 | DEBUG | writing was True
2024-11-04 18:06:48,214 | DEBUG | released all reader slots
2024-11-04 18:06:48,214 | DEBUG | No writer
2024-11-04 18:06:48,214 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,214 | DEBUG | Got value from dict - 17
2024-11-04 18:06:48,214 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,214 | DEBUG | Data written
2024-11-04 18:06:48,214 | DEBUG | Got data
2024-11-04 18:06:48,215 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,215 | DEBUG | Data written
2024-11-04 18:06:48,215 | DEBUG | Data written
2024-11-04 18:06:48,215 | DEBUG | method chosen: OperationSettings.PROCESSES
2024-11-04 18:06:48,221 | DEBUG | Got data
2024-11-04 18:06:48,221 | DEBUG | Data written
2024-11-04 18:06:48,221 | DEBUG | method chosen: OperationSettings.PROCESSES
2024-11-04 18:06:48,222 | DEBUG | Got data
2024-11-04 18:06:48,222 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,222 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:06:48,222 | DEBUG | Data written
2024-11-04 18:06:48,222 | DEBUG | writing was True
2024-11-04 18:06:48,222 | DEBUG | released all reader slots
2024-11-04 18:06:48,222 | DEBUG | No writer
2024-11-04 18:06:48,222 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,222 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,329 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,330 | DEBUG | adding age: 17 to db was True
2024-11-04 18:06:48,330 | DEBUG | Data written
2024-11-04 18:06:48,330 | DEBUG | writing was True
2024-11-04 18:06:48,330 | DEBUG | released all reader slots
2024-11-04 18:06:48,330 | DEBUG | No writer
2024-11-04 18:06:48,330 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,330 | DEBUG | Got value from dict - 17
2024-11-04 18:06:48,359 | DEBUG | No writer
2024-11-04 18:06:48,359 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,359 | DEBUG | Got value from dict - None
2024-11-04 18:06:48,465 | DEBUG | No writer
2024-11-04 18:06:48,465 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,465 | DEBUG | Got value from dict - None
2024-11-04 18:06:48,596 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,596 | DEBUG | adding height: tall to db was True
2024-11-04 18:06:48,596 | DEBUG | Data written
2024-11-04 18:06:48,596 | DEBUG | writing was True
2024-11-04 18:06:48,596 | DEBUG | released all reader slots
2024-11-04 18:06:48,596 | DEBUG | No writer
2024-11-04 18:06:48,596 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,596 | DEBUG | Got value from dict - tall
2024-11-04 18:06:48,604 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,604 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:06:48,604 | DEBUG | Data written
2024-11-04 18:06:48,604 | DEBUG | writing was True
