2024-11-17 18:19:56,131 | DEBUG | File Handle Closed
2024-11-17 18:19:56,131 | DEBUG | Read from file complete
2024-11-17 18:19:56,131 | DEBUG | File Handle Closed
2024-11-17 18:19:56,131 | DEBUG | Converted data to dict
2024-11-17 18:19:56,132 | DEBUG | Value added to dictionary
2024-11-17 18:19:56,132 | DEBUG | Written to file
2024-11-17 18:19:56,132 | DEBUG | File Handle Closed
2024-11-17 18:19:56,133 | DEBUG | acquired all reader slots
2024-11-17 18:19:56,133 | DEBUG | Value added to dictionary
2024-11-17 18:19:56,133 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:19:56,133 | DEBUG | Written to file
2024-11-17 18:19:56,133 | DEBUG | File Handle Closed
2024-11-17 18:19:56,133 | DEBUG | writing was True
2024-11-17 18:19:56,133 | DEBUG | released all reader slots
2024-11-17 18:19:56,133 | DEBUG | No writer
2024-11-17 18:19:56,133 | DEBUG | Acquired reader lock
2024-11-17 18:19:56,133 | DEBUG | Got value from dict - Ophir
2024-11-17 18:19:56,450 | DEBUG | acquired all reader slots
2024-11-17 18:19:56,450 | DEBUG | Value added to dictionary
2024-11-17 18:19:56,450 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:19:56,450 | DEBUG | Written to file
2024-11-17 18:19:56,450 | DEBUG | File Handle Closed
2024-11-17 18:19:56,450 | DEBUG | writing was True
2024-11-17 18:19:56,450 | DEBUG | released all reader slots
2024-11-17 18:19:56,638 | DEBUG | Tests complete
2024-11-17 18:20:30,860 | DEBUG | Written to file
2024-11-17 18:20:30,860 | DEBUG | File Handle Closed
2024-11-17 18:20:30,860 | DEBUG | Value added to dictionary
2024-11-17 18:20:30,861 | DEBUG | Written to file
2024-11-17 18:20:30,861 | DEBUG | File Handle Closed
2024-11-17 18:20:30,861 | DEBUG | Read from file complete
2024-11-17 18:20:30,861 | DEBUG | File Handle Closed
2024-11-17 18:20:30,861 | DEBUG | Converted data to dict
2024-11-17 18:20:30,861 | DEBUG | Value added to dictionary
2024-11-17 18:20:30,861 | DEBUG | Written to file
2024-11-17 18:20:30,861 | DEBUG | File Handle Closed
2024-11-17 18:20:30,862 | DEBUG | Written to file
2024-11-17 18:20:30,862 | DEBUG | File Handle Closed
2024-11-17 18:20:30,862 | DEBUG | acquired all reader slots
2024-11-17 18:20:30,862 | DEBUG | Value added to dictionary
2024-11-17 18:20:30,862 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:20:30,862 | DEBUG | Written to file
2024-11-17 18:20:30,862 | DEBUG | File Handle Closed
2024-11-17 18:20:30,862 | DEBUG | writing was True
2024-11-17 18:20:30,862 | DEBUG | released all reader slots
2024-11-17 18:20:30,862 | DEBUG | No writer
2024-11-17 18:20:30,862 | DEBUG | Acquired reader lock
2024-11-17 18:20:30,862 | DEBUG | Got value from dict - Ophir
2024-11-17 18:20:31,168 | DEBUG | acquired all reader slots
2024-11-17 18:20:31,168 | DEBUG | Value added to dictionary
2024-11-17 18:20:31,168 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:20:31,168 | DEBUG | Written to file
2024-11-17 18:20:31,168 | DEBUG | File Handle Closed
2024-11-17 18:20:31,168 | DEBUG | writing was True
2024-11-17 18:20:31,168 | DEBUG | released all reader slots
2024-11-17 18:20:31,370 | DEBUG | Tests complete
2024-11-17 18:21:43,873 | DEBUG | Written to file
2024-11-17 18:21:43,873 | DEBUG | File Handle Closed
2024-11-17 18:21:43,874 | DEBUG | Value added to dictionary
2024-11-17 18:21:43,874 | DEBUG | Written to file
2024-11-17 18:21:43,874 | DEBUG | File Handle Closed
2024-11-17 18:21:43,874 | DEBUG | Read from file complete
2024-11-17 18:21:43,874 | DEBUG | File Handle Closed
2024-11-17 18:21:43,874 | DEBUG | Converted data to dict
2024-11-17 18:21:43,874 | DEBUG | Value added to dictionary
2024-11-17 18:21:43,874 | DEBUG | Written to file
2024-11-17 18:21:43,874 | DEBUG | File Handle Closed
2024-11-17 18:21:43,875 | DEBUG | Written to file
2024-11-17 18:21:43,875 | DEBUG | File Handle Closed
2024-11-17 18:21:43,875 | DEBUG | acquired all reader slots
2024-11-17 18:21:43,875 | DEBUG | Value added to dictionary
2024-11-17 18:21:43,875 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:21:43,875 | DEBUG | Written to file
2024-11-17 18:21:43,875 | DEBUG | File Handle Closed
2024-11-17 18:21:43,875 | DEBUG | writing was True
2024-11-17 18:21:43,875 | DEBUG | released all reader slots
2024-11-17 18:21:43,875 | DEBUG | No writer
2024-11-17 18:21:43,875 | DEBUG | Acquired reader lock
2024-11-17 18:21:43,875 | DEBUG | Got value from dict - Ophir
2024-11-17 18:21:43,875 | DEBUG | No writer
2024-11-17 18:21:43,875 | DEBUG | Acquired reader lock
2024-11-17 18:21:43,875 | DEBUG | Got value from dict - Ophir
2024-11-17 18:21:44,184 | DEBUG | acquired all reader slots
2024-11-17 18:21:44,184 | DEBUG | Value added to dictionary
2024-11-17 18:21:44,184 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:21:44,184 | DEBUG | Written to file
2024-11-17 18:21:44,184 | DEBUG | File Handle Closed
2024-11-17 18:21:44,184 | DEBUG | writing was True
2024-11-17 18:21:44,184 | DEBUG | released all reader slots
2024-11-17 18:21:44,389 | DEBUG | Tests complete
2024-11-17 18:22:15,707 | DEBUG | Written to file
2024-11-17 18:22:15,707 | DEBUG | File Handle Closed
2024-11-17 18:22:15,707 | DEBUG | Value added to dictionary
2024-11-17 18:22:15,707 | DEBUG | Written to file
2024-11-17 18:22:15,707 | DEBUG | File Handle Closed
2024-11-17 18:22:15,707 | DEBUG | Read from file complete
2024-11-17 18:22:15,707 | DEBUG | File Handle Closed
2024-11-17 18:22:15,707 | DEBUG | Converted data to dict
2024-11-17 18:22:15,707 | DEBUG | Value added to dictionary
2024-11-17 18:22:15,709 | DEBUG | Written to file
2024-11-17 18:22:15,709 | DEBUG | File Handle Closed
2024-11-17 18:22:15,709 | DEBUG | Written to file
2024-11-17 18:22:15,709 | DEBUG | File Handle Closed
2024-11-17 18:22:15,709 | DEBUG | acquired all reader slots
2024-11-17 18:22:15,709 | DEBUG | Value added to dictionary
2024-11-17 18:22:15,709 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:22:15,709 | DEBUG | Written to file
2024-11-17 18:22:15,709 | DEBUG | File Handle Closed
2024-11-17 18:22:15,709 | DEBUG | writing was True
2024-11-17 18:22:15,710 | DEBUG | released all reader slots
2024-11-17 18:22:15,710 | DEBUG | No writer
2024-11-17 18:22:15,710 | DEBUG | Acquired reader lock
2024-11-17 18:22:15,710 | DEBUG | Got value from dict - Ophir
2024-11-17 18:22:16,019 | DEBUG | acquired all reader slots
2024-11-17 18:22:16,019 | DEBUG | Value added to dictionary
2024-11-17 18:22:16,019 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:22:16,019 | DEBUG | Written to file
2024-11-17 18:22:16,019 | DEBUG | File Handle Closed
2024-11-17 18:22:16,019 | DEBUG | writing was True
2024-11-17 18:22:16,019 | DEBUG | released all reader slots
